Name,HullIndexParent,WeaponType,ScaleX,ScaleY,ScaleZ,PositionX,PositionY,PositionZ,OrientationW,OrientationX,OrientationY,OrientationZ,ObjectMass,ObjectMaterial,ObjectMaximumLife,ObjectArmor,DestructionDelay,EffectMultiplierKill,EffectMultiplierDestroy,EffectsMaskKill,EffectsMaskDestroy,LocalDirectionX,LocalDirectionY,LocalDirectionZ,WeaponPriority,WeaponBehaviour,ReloadTime,HasLock,AffectorType,AffectorScaleFactor,AffectorPowerFactor,AffectorPositionX,AffectorPositionY,AffectorPositionZ,MobilityType,LocalPositionX,LocalPositionY,LocalPositionZ,Fitness
DroneAlphaLaser-baseline,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1
DroneAlphaLaser-baseline,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1
DroneBeta-baseline,0,0,1.0,1.0,1.0,0.0,-0.3,0.4,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
DroneBeta-baseline,1,0,1.0,1.0,1.0,0.0,-0.3,0.4,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
DroneBeta-baseline,2,0,1.0,1.0,1.0,0.0,-0.3,0.4,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Maia-baseline,5,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000000101000000000000000010110,00000000101000000000000000010110,0.0,0.0,1.0,0,2,0.1,0,-1,0.1,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Maia-baseline,6,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000000101000000000000000010110,00000000101000000000000000010110,0.0,0.0,1.0,0,2,1.0,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,15,0,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,16,0,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,3,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,5,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,7,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,9,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,11,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,31,0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,32,0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,33,0,1.4,1.4,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,3,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,34,0,1.4,1.4,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,3,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,35,0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,4,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Orion-baseline,36,0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,4,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Teuthus-baseline,9,6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,0.0,0.0,1.0,1,2,1.0,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Teuthus-baseline,17,6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,0.0,0.0,1.0,3,2,10.0,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Teuthus-baseline,25,6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,0.0,0.0,1.0,2,2,1.0,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Teuthus-baseline,31,6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,0.0,0.0,1.0,2,2,1.0,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Teuthus-baseline,10,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,2,2,1.0,0,-1,1.0,1.0,0.0,0.0,0.0,11,0.0,0.0,0.1575,1
Teuthus-baseline,18,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,2,2,1.0,0,-1,1.0,1.0,0.0,0.0,0.0,11,0.0,0.0,0.1575,1
Teuthus-baseline,11,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,3,2,5.0,0,-1,1.0,1.0,0.0,0.0,0.0,12,0.15,0.0,-0.18,1
Teuthus-baseline,11,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,3,2,5.0,0,-1,1.0,1.0,0.0,0.0,0.0,12,0.15,0.0,-0.18,1
Teuthus-baseline,19,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,3,2,5.0,0,-1,1.0,1.0,0.0,0.0,0.0,12,-0.15,0.0,-0.18,1
Teuthus-baseline,19,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,3,2,5.0,0,-1,1.0,1.0,0.0,0.0,0.0,12,-0.15,0.0,-0.18,1
TrailerAlpha-baseline,1,0,0.5,0.5,0.5,-1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,-1.0,0.0,0.0,0,2,0.15,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
TrailerAlpha-baseline,1,0,0.5,0.5,0.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,1.0,0.0,0.0,0,2,0.15,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
TrailerBeta-baseline,0,0,0.3,0.3,0.3,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.15,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
TrailerBeta-baseline,2,0,0.3,0.3,0.3,0.0,0.575,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,1.0,0.0,0,2,0.15,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
TrailerBeta-baseline,2,0,0.3,0.3,0.3,0.0,-0.575,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,-1.0,0.0,0,2,0.15,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Vermis-baseline,3,0,0.3,0.3,0.3,-0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,-1.0,0.0,0.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Vermis-baseline,3,0,0.3,0.3,0.3,0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,1.0,0.0,0.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Vermis-baseline,5,0,0.3,0.3,0.3,-0.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,-1.0,0.0,0.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Vermis-baseline,5,0,0.3,0.3,0.3,0.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,1.0,0.0,0.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Vermis-baseline,7,0,0.3,0.3,0.3,-0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,-1.0,0.0,0.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
Vermis-baseline,7,0,0.3,0.3,0.3,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000000000000000000000000000000,1.0,0.0,0.0,2,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,-0.156,0.0,0.167,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,-0.344,0.0,0.045,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,-0.531,0.0,-0.077,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,-0.718,0.0,-0.198,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,-0.906,0.0,-0.32,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,0.156,0.0,0.167,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,0.344,0.0,0.045,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,0.531,0.0,-0.077,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,0.718,0.0,-0.198,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
WingAlpha-baseline,0,0,0.1,0.1,0.1,0.906,0.0,-0.32,1.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010110,00000001010000000000000000010110,0.0,0.0,1.0,0,2,0.2,0,-1,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
